"Survey","Zipcode","Race","Hal.Harmful","Hal.Addictive","MDMA.Harmful","MDMA.Addictive","GHB.Harmful","GHB.Addictive","ID.Q1","ID.Q2","ID.Q3"
"Pre","90029","Not Hispanic or Latino","4","4","5","4","1","1","Lan","Red","7"
"Pre","90034","Hispanic or Latino","1","5","5","5","5","5","Ros","Blue","7"
"Pre","90004","Not Hispanic or Latino","4","4","4","4","1","1","Jos","Pink","13"
"Pre","90020","Not Hispanic or Latino","4","3","3","4","1","1","Del","Blue","2"
"Pre","90005","Hispanic or Latino","4","4","4","4","4","4","Ana","Blue","5"
"Pre","90022","Not Hispanic or Latino","4","3","2","3","3","2","Sha","Blue","7"
"Pre","90027","Hispanic or Latino","3","3","5","5","3","3","Eve ","Blue ","9"
"Pre","90020","Not Hispanic or Latino","5","4","5","4","3","3","SOR","Black","7"
"Pre","90038","Hispanic or Latino","5","5","5","5","5","5","Ros ","Red","2"
"Pre","90034","Not Hispanic or Latino","4","4","5","5","5","5","jou","blue","7"
"Pre","90005","Hispanic or Latino","5","5","5","4","4","4","Lau ","Purple ","8"
"Pre","90211","Not Hispanic or Latino","4","4","4","4","5","3","Riz","Cyan","3"
"Pre","90038","Hispanic or Latino","3","3","3","3","2","2","Mar","Black","7"
"Pre","90004","Hispanic or Latino","3","2","3","3","3","3","May","Red","7"
"Pre","90038","Hispanic or Latino","1","1","3","2","5","3","Mar","Black","0"
"Pre","90019","Not Hispanic or Latino","2","1","3","3","2","3","Jeo","Purple","12"
"Pre","90057","Not Hispanic or Latino","4","3","5","5","3","3","Lou","White","21"
"Pre","90043","Not Hispanic or Latino","5","5","5","5","5","5","Est","Blue","3"
"Pre","90006","Not Hispanic or Latino","3","4","4","5","3","3","Miy","Black","10"
"Pre","90005","Not Hispanic or Latino","4","4","4","4","3","3","Mic","blue","5"
"Pre","90027","Hispanic or Latino","3","3","5","5","3","3","Eve ","Blue ","9"
"Pre","90004","Hispanic or Latino","5","5","5","4","2","3","Nic","Red","4"
"Pre","90043","Not Hispanic or Latino","5","5","5","3","1","1","Cry","Blue","7"
"Pre","90016","Hispanic or Latino","2","1","3","3","3","3","Dol","pink","12"
"Pre","90034","Not Hispanic or Latino","5","5","5","5","5","5","Hen","Red","4"
"Pre","90034","Not Hispanic or Latino","4","3","3","3","5","5","The","Red","3"
"Pre","90035","Not Hispanic or Latino","1","1","1","1","1","1","Lil","Black","773"
"Pre","90016","Hispanic or Latino","5","5","5","5","5","5","MAG","Red","28"
"Pre","90019","Hispanic or Latino","3","3","3","3","4","3","Ora ","Blue","8"
"Pre","90019","Hispanic or Latino","4","4","4","4","5","5","Jos","Red","5"
"Pre","90034","Hispanic or Latino","3","3","3","1","2","4","she","Black","6"
"Pre","90016","Hispanic or Latino","5","5","5","5","5","4","isa","red","13"
